Sản lượng nho(tấn)		
Năm:                       		
Hiển thị:     		
	Tỉnh	Kết quả
1	Đồng Tháp	134.003,1
2	Hải Phòng	85.724,4
3	Hà Nội	33.752,5
4	Vĩnh Long	32.704,6
5	Cần Thơ	24.580,9
6	Hưng Yên	20.457,7
7	Thanh Hoá	15.075,7
8	Tây Ninh	12.009,9
9	Nghệ An	11.389,5
10	Bắc Ninh	8.106,3
11	Đồng Nai	7.562,9
12	An Giang	5.862,8
13	Quảng Ninh	5.264,9
14	Hà Tĩnh	4.349
15	Ninh Bình	4.237,2
16	Thái Nguyên	4.172,6
17	Đăk Lăk	3.292,3
18	Quảng Trị	3.237,4
19	Lâm Đồng	3.237
20	Cà Mau	2.756,7
21	Phú Thọ	2.416,5
22	Đà Nẵng	2.192,6
23	Thành phố Hồ Chí Minh	1.988,2
24	Khánh Hoà	1.333,9
25	Gia Lai	1.287
26	Lạng Sơn	1.282,5
27	Thừa Thiên-Huế	951,4
28	Tuyên Quang	808
29	Lao Cai	720,8
30	Sơn La	556
31	Quảng Ngãi	538,5
32	Lai Châu	375,2
33	Cao Bằng	190,9
34	Điện Biên	166,3


Sản lượng bưởi(tấn)		
Năm:                       		
Hiển thị:     		
	Tỉnh	Kết quả
1	Vĩnh Long	232.745,47
2	Phú Thọ	173.663,46
3	Đồng Nai	165.412,35
4	Hà Nội	115.671,98
5	Đồng Tháp	65.992,39
6	Thành phố Hồ Chí Minh	61.842,32
7	Thanh Hoá	54.021,33
8	Tuyên Quang	52.688,3
9	Cần Thơ	46.295,73
10	Bắc Ninh	40.833,32
11	Hà Tĩnh	39.795
12	Hưng Yên	34.133,68
13	Thái Nguyên	24.980,86
14	Ninh Bình	23.069,41
15	Lao Cai	22.065,78
16	Nghệ An	19.747,71
17	Hải Phòng	18.708,38
18	Sơn La	13.808
19	Tây Ninh	13.574,71
20	Thừa Thiên-Huế	12.382,5
21	Lạng Sơn	8.491,02
22	Lâm Đồng	8.095,83
23	Đà Nẵng	6.317,05
24	Khánh Hoà	5.679,63
25	Gia Lai	4.276,99
26	An Giang	3.884,67
27	Quảng Trị	3.319,84
28	Quảng Ninh	2.565,18
29	Quảng Ngãi	2.556,2
30	Điện Biên	2.485,91
31	Đăk Lăk	2.174,45
32	Lai Châu	1.593,1
33	Cao Bằng	862,01
34	Cà Mau	348,06

